cycles,capacity,time,cellID
0,93.9921864,0.006980975694444446,1
1,94.02416163000001,0.013960217592592599,1
2,94.05770808,0.020940427083333355,1
3,94.09513743,0.027920914351851883,1
4,94.0937739,0.03490084606481485,1
5,94.11092186999998,0.04188103935185188,1
6,94.11783885,0.04886140046296297,1
7,94.11918432,0.055841567129629635,1
8,94.11398304,0.06282136921296297,1
9,94.13050794,0.06980135763888894,1
10,94.15013013000001,0.0767819293981482,1
11,94.15657755,0.08376223032407419,1
12,94.15236054,0.09074226620370375,1
13,94.15628858999999,0.09772299074074076,1
14,94.16968911,0.10470319328703706,1
15,94.17815022,0.11168339699074077,1
16,94.17140481,0.11866359722222225,1
17,94.18917585000001,0.12564379050925928,1
18,94.20403923,0.13262354166666676,1
19,94.19600253,0.13960362962962977,1
20,94.20868967999999,0.1465836539351853,1
21,94.21046859,0.15356415740740753,1
22,94.22153936999999,0.16054494212962972,1
23,94.23183356999999,0.16752475000000014,1
24,94.23302553,0.17450470717592603,1
25,94.23214961999999,0.18148457754629632,1
26,94.25216009999998,0.18846459027777773,1
27,94.24657956,0.19544455324074061,1
28,94.23878667,0.2024243506944443,1
29,94.24975811999998,0.20940443634259248,1
30,94.25276511,0.21638454861111112,1
31,94.25690085,0.22336419212962955,1
32,94.24831332000001,0.23034404745370365,1
33,94.25590754999999,0.23732468750000002,1
34,94.25660286,0.2443048969907408,1
35,94.24732904999999,0.2512850775462963,1
36,94.24837653,0.25826525115740745,1
37,94.23718835999999,0.2652448194444445,1
38,94.24005086999999,0.27222456250000016,1
39,94.23405495,0.2792045428240742,1
40,94.22820351,0.28618457060185193,1
41,94.21578726,0.29316461226851853,1
42,94.21922768999998,0.30014429398148157,1
43,94.21990494,0.30712446759259265,1
44,94.21792736999998,0.3141040405092593,1
45,94.214505,0.3210836851851853,1
46,94.22565705,0.32806364236111124,1
47,94.21714175999999,0.33504402546296314,1
48,94.21833372,0.3420241064814816,1
49,94.21591368,0.34900444328703717,1
50,94.21306923,0.3559844525462964,1
51,94.21358394,0.36296540277777806,1
52,94.21081173,0.3699467430555557,1
53,94.23289008,0.3769269930555556,1
54,94.22986503,0.38390711574074105,1
55,94.23016301999999,0.3908874826388893,1
