cellID,time,cycles,capacity
1,1.25734599305556,27,98.2451545454545
1,2.2314260162037,54,98.2658636363636
1,3.20550681018519,81,98.2054272727273
1,4.17958827662038,108,98.1380909090909
1,5.11753583101852,134,98.0533727272727
1,6.09161951388889,161,97.9525181818182
1,7.06570055787038,188,97.8968545454545
1,8.03938913773149,215,97.7993727272727
1,9.01120497222223,242,97.6668363636363
1,9.94485108101853,268,97.5273454545454
1,10.912786275463,295,97.4136636363636
1,11.8793828090278,322,97.2868272727273
1,12.8456900381945,349,97.3153090909091
1,13.8150946006945,376,97.197
1,14.7474065891204,402,97.0951363636363
1,15.7141500370371,429,96.9609909090909
1,16.6769244189815,456,96.8070636363636
1,17.6362106331019,483,96.6464818181818
1,18.5924628842593,510,96.1145363636364
1,19.5124097777778,536,96.1280636363636
1,20.4675983263889,563,95.9501454545454
1,21.4201467199074,590,95.7168636363636
1,22.3671535729167,617,95.4928272727273
1,23.310982369213,644,95.2507545454545
1,24.2146048263889,670,95.0503909090909
1,25.1467503171296,697,94.7512
1,26.0795033078704,724,94.4359909090909
1,26.9958408020833,751,94.2404363636363
1,27.9063087453703,778,93.9520636363636
1,28.7782874756944,804,93.6133636363636
1,29.67574621875,831,93.1996727272727
1,30.5665642175925,858,92.6369545454545
1,31.4509476597222,885,92.0271090909091
1,32.513820386574,912,91.1831454545454
1,33.3493262685185,938,90.2622772727273
1,34.2055464421296,965,89.0196618181818
1,35.0589199189815,992,87.1404736363636
1,35.9112077905093,1019,84.9963209090909
1,36.7440362592593,1046,82.4489109090909
1,37.5282851550926,1072,80.0487509090909
2,0.850888152777778,16,98.2639545454545
2,1.41802317708333,32,98.3625909090909
2,1.98515828472222,48,98.3407272727273
2,2.55229537152778,64,98.2926636363636
2,3.1194303599537,80,98.2338727272727
2,3.68656601273148,96,98.1308181818182
2,4.21825512731481,111,98.0410272727273
2,4.78538423263888,127,97.9266727272727
2,5.35262301504629,143,97.8012
2,5.91990453356481,159,97.6816545454545
2,6.48716444212963,175,97.5484636363636
2,7.0545256875,191,97.4578636363636
2,7.62193438078704,207,97.2834363636364
2,8.15389643055556,222,97.2357
2,8.72141527314815,238,97.0482181818182
2,9.28897396412037,254,96.8821454545454
2,9.85570702893519,270,96.7358636363636
2,10.4225232951389,286,96.5694909090909
2,10.9884131736111,302,96.3756818181818
2,11.5184575196759,317,96.2289363636364
2,12.085674068287,333,96.0619363636363
2,12.6513726388889,349,95.8110090909091
2,13.2138816388889,365,95.8251
2,13.7744522696759,381,95.5303545454545
2,14.333285837963,397,95.3779545454545
2,14.8904326689815,413,95.1479636363636
2,15.4082552546296,428,94.8951454545454
2,15.9586603865741,444,94.5657818181818
2,16.5069457534722,460,94.1888818181818
2,17.0490193541667,476,93.8248727272727
2,17.5934670486111,492,93.3588636363636
2,18.13437965625,508,92.8928
2,18.67150628125,524,91.8969272727273
2,19.1729898553241,539,91.2048090909091
2,19.7019457407408,555,90.0505563636364
2,20.2234141122685,571,88.6775963636364
2,20.7353143391204,587,86.8463572727273
2,21.235139681713,603,84.6765581818182
2,21.7271814097222,619,82.2000390909091
2,22.1852356666667,634,80.0051363636364
3,1.06356280555556,22,99.7805181818182
3,1.84337245717593,44,99.7790272727273
3,2.62318593518518,66,99.7049454545455
3,3.36754790393518,87,99.6588363636364
3,4.14735542708333,109,99.5940090909091
3,4.92710662268518,131,99.4872545454545
3,5.67148405439815,152,99.3803090909091
3,6.45129020949074,174,99.2806272727273
3,7.23089937037037,196,99.2234545454545
3,7.97427040046297,217,99.1069181818182
3,8.75272026736111,239,99.0265272727273
3,9.53060137847223,261,98.8723727272727
3,10.3082861435185,283,98.7404818181818
3,11.0499789537037,304,98.6502363636364
3,11.82633365625,326,98.4861818181818
3,12.6024154351852,348,98.3297363636364
3,13.3439043298611,369,98.3371272727273
3,14.120238837963,391,98.2415636363636
3,14.8963149340278,413,98.0316545454545
3,15.6364999027778,434,97.8878454545455
3,16.4117505115741,456,97.7147090909091
3,17.1865196145833,478,97.5963
3,17.9603462210648,500,97.3275545454545
3,18.6995541620371,521,96.9865727272727
3,19.4744230023148,543,96.4459545454545
3,20.2495670578704,565,96.3479272727273
3,20.9894909178241,586,95.9209
3,21.7616645648148,608,95.4534181818182
3,22.5263707662037,630,94.8586272727273
3,23.2506769166667,651,94.2788818181818
3,24.0064574328704,673,93.5249909090909
3,24.7559788738426,695,92.6502818181818
3,25.4946975405093,717,91.6579272727273
3,26.191489306713,738,90.4994445454545
3,26.9035920706019,760,89.0932245454545
3,27.5982888587963,782,87.5066354545454
3,28.2564107777778,803,85.8508727272727
3,28.9389625416667,825,83.8985336363636
3,29.6137150601852,847,81.9885463636364
3,30.2605929826389,868,80.1005418181818
4,0.978170422453703,27,98.8897
4,1.92001011805555,53,98.9877
4,2.86158234490741,79,98.9135727272727
4,3.83831015046296,106,98.8639181818182
4,4.7778470625,132,98.7828636363636
4,5.71586036689815,158,98.6963727272727
4,6.68910223263889,185,98.6195909090909
4,7.62509017245371,211,98.5268636363636
4,8.56002850694445,237,98.4324090909091
4,9.49366984143519,263,98.3304545454545
4,10.4617099710648,290,98.2530363636364
4,11.3926715555556,316,98.1270363636363
4,12.32325765625,342,98.1898272727273
4,13.2901745798611,369,98.0274363636364
4,14.2206498125,395,97.8765090909091
4,15.1476899386574,421,97.7077454545454
4,16.1117750092592,448,97.5678181818182
4,17.0388708738426,474,97.4130272727273
4,17.9620782164352,500,97.1534181818182
4,18.8864520104167,526,96.9944181818182
4,19.843846806713,553,96.8089454545454
4,20.7672442361111,579,96.6364181818182
4,21.68929446875,605,96.4483545454545
4,22.6439944571759,632,96.1993363636364
4,23.562851724537,658,95.9410272727273
4,24.4754089224537,684,95.6589
